#-----------------------------------------------------------------------------
# Date d'extraction : 23/06/2026 - 11h37 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020_DISTRIBUTION
# Modele     : Q50
# Scenario :
#     RCP4.5 : Emissions modérées
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTX35 : Nombre de jours de fortes chaleur ( TX>35°C ) (jour(s))
#     NORTR : Nombre de nuits tropicales (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORTX35;NORTR;
#-----------------------------------------------------------------------------
1782;42.421;2.1912;RCP4.5;H1;0;0;
1783;42.4211;2.2881;RCP4.5;H1;0;0;
1784;42.4211;2.3851;RCP4.5;H1;0;1;
1785;42.421;2.482;RCP4.5;H1;0.07;7;
1786;42.4209;2.5789;RCP4.5;H1;0.57;18;
1787;42.4206;2.6759;RCP4.5;H1;0.45;14;
1788;42.4202;2.7728;RCP4.5;H1;0.8;21;
1789;42.4198;2.8697;RCP4.5;H1;2.46;39;
1791;42.4186;3.0636;RCP4.5;H1;0.83;58;
1792;42.4179;3.1605;RCP4.5;H1;0.32;76;
1848;42.2372;8.576;RCP4.5;H1;1.52;45;
1849;42.2315;8.6723;RCP4.5;H1;3.7;38;
1850;42.2256;8.7686;RCP4.5;H1;3.08;38;
1851;42.2197;8.8649;RCP4.5;H1;0.5;31;
1852;42.2137;8.9611;RCP4.5;H1;0;4;
1853;42.2076;9.0574;RCP4.5;H1;0;1;
1854;42.2015;9.1536;RCP4.5;H1;0.09;12;
1855;42.1952;9.2498;RCP4.5;H1;2.43;25;
1856;42.1889;9.346;RCP4.5;H1;1.45;49;
1857;42.1824;9.4421;RCP4.5;H1;0.55;67;
1858;42.1759;9.5383;RCP4.5;H1;0.57;80;
1918;42.4897;1.5116;RCP4.5;H1;0;1;
1919;42.4905;1.6087;RCP4.5;H1;0;0;
1920;42.4911;1.7057;RCP4.5;H1;0;0;
1921;42.4916;1.8028;RCP4.5;H1;0;0;
1922;42.4921;1.8998;RCP4.5;H1;0;0;
1923;42.4924;1.9969;RCP4.5;H1;0;2;
1924;42.4927;2.0939;RCP4.5;H1;0;1;
1925;42.4929;2.191;RCP4.5;H1;0;1;
1926;42.4929;2.2881;RCP4.5;H1;0;1;
1927;42.4929;2.3851;RCP4.5;H1;0;1;
1928;42.4929;2.4822;RCP4.5;H1;0;0;
1929;42.4927;2.5792;RCP4.5;H1;0.22;9;
1930;42.4924;2.6763;RCP4.5;H1;2.02;32;
1931;42.4921;2.7733;RCP4.5;H1;2.44;42;
1932;42.4916;2.8704;RCP4.5;H1;1.95;35;
1933;42.4911;2.9674;RCP4.5;H1;0.24;37;
1934;42.4905;3.0645;RCP4.5;H1;0.79;57;
1935;42.4898;3.1615;RCP4.5;H1;0.4;82;
1991;42.3088;8.5836;RCP4.5;H1;1.73;46;
