#-----------------------------------------------------------------------------
# Date d'extraction : 23/06/2026 - 11h37 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020_DISTRIBUTION
# Modele     : Q50
# Scenario :
#     RCP8.5 : Emissions non réduites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTX35 : Nombre de jours de fortes chaleur ( TX>35°C ) (jour(s))
#     NORTR : Nombre de nuits tropicales (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORTX35;NORTR;
#-----------------------------------------------------------------------------
1782;42.421;2.1912;RCP8.5;H1;0;0;
1783;42.4211;2.2881;RCP8.5;H1;0;0;
1784;42.4211;2.3851;RCP8.5;H1;0;1;
1785;42.421;2.482;RCP8.5;H1;0.07;8;
1786;42.4209;2.5789;RCP8.5;H1;0.75;18;
1787;42.4206;2.6759;RCP8.5;H1;0.37;15;
1788;42.4202;2.7728;RCP8.5;H1;0.58;22;
1789;42.4198;2.8697;RCP8.5;H1;2.8;41;
1791;42.4186;3.0636;RCP8.5;H1;0.77;62;
1792;42.4179;3.1605;RCP8.5;H1;0.5;81;
1848;42.2372;8.576;RCP8.5;H1;1.47;50;
1849;42.2315;8.6723;RCP8.5;H1;2.79;43;
1850;42.2256;8.7686;RCP8.5;H1;2.47;41;
1851;42.2197;8.8649;RCP8.5;H1;0.62;32;
1852;42.2137;8.9611;RCP8.5;H1;0;4;
1853;42.2076;9.0574;RCP8.5;H1;0;2;
1854;42.2015;9.1536;RCP8.5;H1;0.07;16;
1855;42.1952;9.2498;RCP8.5;H1;2.53;28;
1856;42.1889;9.346;RCP8.5;H1;1.4;54;
1857;42.1824;9.4421;RCP8.5;H1;0.8;72;
1858;42.1759;9.5383;RCP8.5;H1;0.68;84;
1918;42.4897;1.5116;RCP8.5;H1;0;1;
1919;42.4905;1.6087;RCP8.5;H1;0;0;
1920;42.4911;1.7057;RCP8.5;H1;0;0;
1921;42.4916;1.8028;RCP8.5;H1;0;0;
1922;42.4921;1.8998;RCP8.5;H1;0;0;
1923;42.4924;1.9969;RCP8.5;H1;0;2;
1924;42.4927;2.0939;RCP8.5;H1;0;1;
1925;42.4929;2.191;RCP8.5;H1;0;1;
1926;42.4929;2.2881;RCP8.5;H1;0;1;
1927;42.4929;2.3851;RCP8.5;H1;0;1;
1928;42.4929;2.4822;RCP8.5;H1;0;0;
1929;42.4927;2.5792;RCP8.5;H1;0.27;10;
1930;42.4924;2.6763;RCP8.5;H1;1.81;33;
1931;42.4921;2.7733;RCP8.5;H1;2.46;45;
1932;42.4916;2.8704;RCP8.5;H1;1.94;37;
1933;42.4911;2.9674;RCP8.5;H1;0.27;39;
1934;42.4905;3.0645;RCP8.5;H1;0.77;61;
1935;42.4898;3.1615;RCP8.5;H1;0.65;86;
1991;42.3088;8.5836;RCP8.5;H1;1.65;50;
1992;42.303;8.6801;RCP8.5;H1;1.83;48;
1993;42.2972;8.7765;RCP8.5;H1;0.13;17;
1994;42.2913;8.8729;RCP8.5;H1;0;4;
1995;42.2853;8.9693;RCP8.5;H1;0;4;
1996;42.2792;9.0656;RCP8.5;H1;0;5;
1997;42.273;9.162;RCP8.5;H1;0.5;26;
1998;42.2667;9.2583;RCP8.5;H1;1.77;31;
1999;42.2604;9.3546;RCP8.5;H1;1.11;28;
2000;42.2539;9.4509;RCP8.5;H1;1.36;43;
2001;42.2474;9.5471;RCP8.5;H1;0.68;84;
2061;42.5616;1.5106;RCP8.5;H1;0;0;
2062;42.5623;1.6078;RCP8.5;H1;0;0;
2063;42.5629;1.7049;RCP8.5;H1;0;0;
2064;42.5634;1.8021;RCP8.5;H1;0;0;
2065;42.5639;1.8993;RCP8.5;H1;0;0;
2066;42.5642;1.9965;RCP8.5;H1;0;0;
2067;42.5645;2.0936;RCP8.5;H1;0;0;
2068;42.5647;2.1908;RCP8.5;H1;0;2;
2069;42.5648;2.288;RCP8.5;H1;0.1;7;
2070;42.5648;2.3852;RCP8.5;H1;0.42;12;
2071;42.5647;2.4823;RCP8.5;H1;0.15;6;
2072;42.5645;2.5795;RCP8.5;H1;0.22;18;
2073;42.5642;2.6767;RCP8.5;H1;1.57;32;
2074;42.5639;2.7739;RCP8.5;H1;3.1;49;
2075;42.5634;2.8711;RCP8.5;H1;3.75;65;
2076;42.5629;2.9682;RCP8.5;H1;3.96;69;
2077;42.5623;3.0654;RCP8.5;H1;0.5;87;
2134;42.3804;8.5913;RCP8.5;H1;1.15;66;
2135;42.3746;8.6879;RCP8.5;H1;0.97;47;
2136;42.3688;8.7844;RCP8.5;H1;2.28;22;
2137;42.3629;8.8809;RCP8.5;H1;0;4;
2138;42.3568;8.9774;RCP8.5;H1;0;3;
2139;42.3507;9.0739;RCP8.5;H1;0;10;
2140;42.3446;9.1704;RCP8.5;H1;2.05;27;
2141;42.3383;9.2668;RCP8.5;H1;0.17;25;
2142;42.3319;9.3632;RCP8.5;H1;0.03;21;
2143;42.3254;9.4596;RCP8.5;H1;1.04;37;
2144;42.3189;9.556;RCP8.5;H1;0.67;84;
2203;42.6326;1.4123;RCP8.5;H1;0;0;
2204;42.6334;1.5096;RCP8.5;H1;0;0;
2205;42.6341;1.6069;RCP8.5;H1;0;0;
2206;42.6347;1.7042;RCP8.5;H1;0;0;
2207;42.6353;1.8014;RCP8.5;H1;0;0;
2208;42.6357;1.8987;RCP8.5;H1;0;0;
2209;42.6361;1.996;RCP8.5;H1;0;0;
2210;42.6363;2.0933;RCP8.5;H1;0;0;
2211;42.6365;2.1906;RCP8.5;H1;0;0;
2212;42.6366;2.2879;RCP8.5;H1;0;3;
2213;42.6366;2.3852;RCP8.5;H1;0.95;14;
2214;42.6365;2.4825;RCP8.5;H1;1.76;32;
2215;42.6363;2.5798;RCP8.5;H1;1.77;35;
2216;42.6361;2.6771;RCP8.5;H1;3.19;41;
2217;42.6357;2.7744;RCP8.5;H1;3.06;62;
2218;42.6353;2.8717;RCP8.5;H1;3.65;67;
2219;42.6347;2.969;RCP8.5;H1;4.6;71;
2220;42.6341;3.0663;RCP8.5;H1;5.04;72;
2278;42.4462;8.6957;RCP8.5;H1;1.4;63;
2279;42.4404;8.7924;RCP8.5;H1;0.37;34;
2280;42.4344;8.889;RCP8.5;H1;0;5;
2281;42.4284;8.9856;RCP8.5;H1;0;4;
2282;42.4223;9.0822;RCP8.5;H1;0;8;
2283;42.4161;9.1788;RCP8.5;H1;3.42;29;
2284;42.4098;9.2753;RCP8.5;H1;0.61;28;
2285;42.4034;9.3719;RCP8.5;H1;1.27;29;
2286;42.397;9.4684;RCP8.5;H1;1.33;40;
2331;42.6817;-0.0495;RCP8.5;H1;0;0;
2332;42.6839;0.0479;RCP8.5;H1;0;0;
2333;42.6859;0.1452;RCP8.5;H1;0;0;
2334;42.6879;0.2426;RCP8.5;H1;0;0;
2335;42.6897;0.3399;RCP8.5;H1;0;0;
2336;42.6915;0.4373;RCP8.5;H1;0;0;
2337;42.6932;0.5346;RCP8.5;H1;0;0;
2338;42.6948;0.632;RCP8.5;H1;0;0;
2343;42.7015;1.1189;RCP8.5;H1;0;0;
2344;42.7026;1.2163;RCP8.5;H1;0;0;
