#-----------------------------------------------------------------------------
# Date d'extraction : 23/06/2026 - 11h30 loc.
#-----------------------------------------------------------------------------
# Producteur : MF
# Experience : Explore2-HydroEau-Adamont-2024_distribution
# Modele     : Q50_SIM2
# Scenario :
#     RCP4.5 : Emissions modérées
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORSWIAV : Indicateur moyen d'humidité des sols
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORSWIAV;
#-----------------------------------------------------------------------------
1140;41.8376;9.2077;RCP4.5;H1;0.74;
1141;41.8313;9.3033;RCP4.5;H1;0.52;
1142;41.8249;9.3988;RCP4.5;H1;0.45;
1276;41.9509;8.5455;RCP4.5;H1;0.48;
1277;41.9452;8.6413;RCP4.5;H1;0.51;
1278;41.9394;8.7372;RCP4.5;H1;0.53;
1279;41.9335;8.833;RCP4.5;H1;0.52;
1280;41.9276;8.9288;RCP4.5;H1;0.55;
1281;41.9215;9.0246;RCP4.5;H1;0.64;
1282;41.9154;9.1203;RCP4.5;H1;0.66;
1283;41.9091;9.216;RCP4.5;H1;0.66;
1284;41.9028;9.3118;RCP4.5;H1;0.54;
1285;41.8964;9.4075;RCP4.5;H1;0.41;
1420;42.0168;8.649;RCP4.5;H1;0.53;
1421;42.011;8.745;RCP4.5;H1;0.53;
1422;42.0051;8.8409;RCP4.5;H1;0.53;
1423;41.9991;8.9368;RCP4.5;H1;0.61;
1424;41.993;9.0327;RCP4.5;H1;0.62;
1425;41.9869;9.1286;RCP4.5;H1;0.74;
1426;41.9806;9.2245;RCP4.5;H1;0.65;
1427;41.9743;9.3203;RCP4.5;H1;0.52;
1428;41.9679;9.4161;RCP4.5;H1;0.45;
1562;42.0941;8.5607;RCP4.5;H1;0.52;
1563;42.0883;8.6568;RCP4.5;H1;0.52;
1564;42.0825;8.7528;RCP4.5;H1;0.49;
1565;42.0766;8.8489;RCP4.5;H1;0.59;
1566;42.0706;8.9449;RCP4.5;H1;0.58;
1567;42.0646;9.0409;RCP4.5;H1;0.68;
1568;42.0584;9.1369;RCP4.5;H1;0.72;
1569;42.0522;9.2329;RCP4.5;H1;0.64;
1570;42.0458;9.3288;RCP4.5;H1;0.5;
1571;42.0394;9.4248;RCP4.5;H1;0.5;
1572;42.0329;9.5207;RCP4.5;H1;0.5;
1637;42.3488;1.9977;RCP4.5;H1;0.54;
1638;42.349;2.0945;RCP4.5;H1;0.54;
1641;42.3493;2.385;RCP4.5;H1;0.69;
1642;42.3492;2.4818;RCP4.5;H1;0.66;
1643;42.349;2.5786;RCP4.5;H1;0.63;
1644;42.3488;2.6754;RCP4.5;H1;0.58;
1705;42.1656;8.5683;RCP4.5;H1;0.5;
1706;42.1599;8.6645;RCP4.5;H1;0.53;
1707;42.1541;8.7607;RCP4.5;H1;0.58;
1708;42.1482;8.8569;RCP4.5;H1;0.61;
1709;42.1422;8.953;RCP4.5;H1;0.67;
1710;42.1361;9.0491;RCP4.5;H1;0.67;
1711;42.1299;9.1452;RCP4.5;H1;0.67;
1712;42.1237;9.2413;RCP4.5;H1;0.61;
1713;42.1173;9.3374;RCP4.5;H1;0.51;
1714;42.1109;9.4334;RCP4.5;H1;0.49;
1715;42.1044;9.5295;RCP4.5;H1;0.47;
1779;42.4202;1.9004;RCP4.5;H1;0.39;
1780;42.4206;1.9973;RCP4.5;H1;0.44;
1781;42.4208;2.0942;RCP4.5;H1;0.59;
1782;42.421;2.1912;RCP4.5;H1;0.69;
1783;42.4211;2.2881;RCP4.5;H1;0.67;
1784;42.4211;2.3851;RCP4.5;H1;0.75;
1785;42.421;2.482;RCP4.5;H1;0.67;
1786;42.4209;2.5789;RCP4.5;H1;0.61;
1787;42.4206;2.6759;RCP4.5;H1;0.61;
1788;42.4202;2.7728;RCP4.5;H1;0.57;
1789;42.4198;2.8697;RCP4.5;H1;0.41;
1791;42.4186;3.0636;RCP4.5;H1;0.42;
1792;42.4179;3.1605;RCP4.5;H1;0.42;
1848;42.2372;8.576;RCP4.5;H1;0.51;
1849;42.2315;8.6723;RCP4.5;H1;0.58;
1850;42.2256;8.7686;RCP4.5;H1;0.63;
1851;42.2197;8.8649;RCP4.5;H1;0.65;
1852;42.2137;8.9611;RCP4.5;H1;0.68;
1853;42.2076;9.0574;RCP4.5;H1;0.72;
1854;42.2015;9.1536;RCP4.5;H1;0.63;
1855;42.1952;9.2498;RCP4.5;H1;0.5;
1856;42.1889;9.346;RCP4.5;H1;0.51;
1857;42.1824;9.4421;RCP4.5;H1;0.48;
1858;42.1759;9.5383;RCP4.5;H1;0.47;
1918;42.4897;1.5116;RCP4.5;H1;0.58;
1919;42.4905;1.6087;RCP4.5;H1;0.74;
1920;42.4911;1.7057;RCP4.5;H1;0.73;
1921;42.4916;1.8028;RCP4.5;H1;0.62;
1922;42.4921;1.8998;RCP4.5;H1;0.52;
1923;42.4924;1.9969;RCP4.5;H1;0.48;
1924;42.4927;2.0939;RCP4.5;H1;0.51;
1925;42.4929;2.191;RCP4.5;H1;0.62;
1926;42.4929;2.2881;RCP4.5;H1;0.62;
1927;42.4929;2.3851;RCP4.5;H1;0.59;
1928;42.4929;2.4822;RCP4.5;H1;0.78;
1929;42.4927;2.5792;RCP4.5;H1;0.66;
1930;42.4924;2.6763;RCP4.5;H1;0.53;
1931;42.4921;2.7733;RCP4.5;H1;0.44;
1932;42.4916;2.8704;RCP4.5;H1;0.45;
1933;42.4911;2.9674;RCP4.5;H1;0.52;
1934;42.4905;3.0645;RCP4.5;H1;0.46;
1935;42.4898;3.1615;RCP4.5;H1;0.42;
1991;42.3088;8.5836;RCP4.5;H1;0.51;
1992;42.303;8.6801;RCP4.5;H1;0.51;
1993;42.2972;8.7765;RCP4.5;H1;0.65;
1994;42.2913;8.8729;RCP4.5;H1;0.7;
1995;42.2853;8.9693;RCP4.5;H1;0.69;
1996;42.2792;9.0656;RCP4.5;H1;0.68;
1997;42.273;9.162;RCP4.5;H1;0.55;
1998;42.2667;9.2583;RCP4.5;H1;0.56;
1999;42.2604;9.3546;RCP4.5;H1;0.59;
2000;42.2539;9.4509;RCP4.5;H1;0.54;
2001;42.2474;9.5471;RCP4.5;H1;0.46;
2061;42.5616;1.5106;RCP4.5;H1;0.62;
2062;42.5623;1.6078;RCP4.5;H1;0.7;
2063;42.5629;1.7049;RCP4.5;H1;0.75;
2064;42.5634;1.8021;RCP4.5;H1;0.66;
2065;42.5639;1.8993;RCP4.5;H1;0.68;
2066;42.5642;1.9965;RCP4.5;H1;0.67;
2067;42.5645;2.0936;RCP4.5;H1;0.58;
2068;42.5647;2.1908;RCP4.5;H1;0.62;
2069;42.5648;2.288;RCP4.5;H1;0.54;
2070;42.5648;2.3852;RCP4.5;H1;0.5;
2071;42.5647;2.4823;RCP4.5;H1;0.53;
2072;42.5645;2.5795;RCP4.5;H1;0.56;
2073;42.5642;2.6767;RCP4.5;H1;0.47;
2074;42.5639;2.7739;RCP4.5;H1;0.48;
2075;42.5634;2.8711;RCP4.5;H1;0.48;
2076;42.5629;2.9682;RCP4.5;H1;0.41;
2077;42.5623;3.0654;RCP4.5;H1;0.39;
2134;42.3804;8.5913;RCP4.5;H1;0.4;
2135;42.3746;8.6879;RCP4.5;H1;0.49;
2136;42.3688;8.7844;RCP4.5;H1;0.6;
2137;42.3629;8.8809;RCP4.5;H1;0.7;
2138;42.3568;8.9774;RCP4.5;H1;0.7;
2139;42.3507;9.0739;RCP4.5;H1;0.66;
2140;42.3446;9.1704;RCP4.5;H1;0.55;
2141;42.3383;9.2668;RCP4.5;H1;0.65;
2142;42.3319;9.3632;RCP4.5;H1;0.64;
2143;42.3254;9.4596;RCP4.5;H1;0.58;
2144;42.3189;9.556;RCP4.5;H1;0.48;
2203;42.6326;1.4123;RCP4.5;H1;0.8;
2204;42.6334;1.5096;RCP4.5;H1;0.75;
2205;42.6341;1.6069;RCP4.5;H1;0.82;
2206;42.6347;1.7042;RCP4.5;H1;0.82;
2207;42.6353;1.8014;RCP4.5;H1;0.77;
2208;42.6357;1.8987;RCP4.5;H1;0.82;
2209;42.6361;1.996;RCP4.5;H1;0.83;
2210;42.6363;2.0933;RCP4.5;H1;0.6;
2211;42.6365;2.1906;RCP4.5;H1;0.86;
2212;42.6366;2.2879;RCP4.5;H1;0.62;
2213;42.6366;2.3852;RCP4.5;H1;0.49;
2214;42.6365;2.4825;RCP4.5;H1;0.51;
2215;42.6363;2.5798;RCP4.5;H1;0.48;
2216;42.6361;2.6771;RCP4.5;H1;0.45;
2217;42.6357;2.7744;RCP4.5;H1;0.51;
